歌单名,收藏量,链接地址
化妆拍照BGM.,31万,https://music.163.com/playlist?id=2434987000
【VIP专享】一周新歌推荐,45万,https://music.163.com/playlist?id=2409342460
谁说翻唱不好听,16万,https://music.163.com/playlist?id=2433860552
万物皆可Supreme,11万,https://music.163.com/playlist?id=2520736219
绝版歌曲，劲爆电音，英文纯音，应有尽有！,15万,https://music.163.com/playlist?id=2525632823
精选 | 网络热歌分享,34万,https://music.163.com/playlist?id=2602222983
隔壁老樊，万能青年，杜航，解忧邵帅,10万,https://music.163.com/playlist?id=2554293285
听说你也在找好听的华语歌,94万,https://music.163.com/playlist?id=2438292020
「看书学习」在安静的位置看热闹的世界,15万,https://music.163.com/playlist?id=2426530028
再见大侠：武侠小说泰斗金庸逝世,22万,https://music.163.com/playlist?id=2492536378
抖音歌曲大全,11万,https://music.163.com/playlist?id=2428607226
【节奏控】超带感特别推荐BGM 持更,11万,https://music.163.com/playlist?id=2616416061
开口即俘获人心，一听就爱上的英文歌 ②,11万,https://music.163.com/playlist?id=2429537442
社会人摇头必备嗨曲（极嗨）,15万,https://music.163.com/playlist?id=2467197621
"""""""若是心怀旧梦 就别再无疾而终""""""",35万,https://music.163.com/playlist?id=2474537199
给猪猪甜甜的歌单,14万,https://music.163.com/playlist?id=2456961456
Gifty 很美味 叽叽 二嘉 可乐 西柚 一口甜,19万,https://music.163.com/playlist?id=2489592180
那些喜欢到循环播放的歌,134万,https://music.163.com/playlist?id=2466312782
給你全宇宙的愛亘古不變,14万,https://music.163.com/playlist?id=2445944292
别急，甜甜的恋爱马上就轮到你了,67万,https://music.163.com/playlist?id=2430524968
欧美·耳朵怀孕| 盘点那些流行歌手,16万,https://music.163.com/playlist?id=2430220144
KTV必点：有没有一首歌，唱着唱着就泪奔,16万,https://music.163.com/playlist?id=2557918409
德云女孩作业清单·相思赋予谁 小辫儿张云雷,14万,https://music.163.com/playlist?id=2502457181
华语｜难以被复制，声线极具特色女歌手,11万,https://music.163.com/playlist?id=2387998356
初恋糖配料表：你的马尾辫和衬衫味道,12万,https://music.163.com/playlist?id=2497731034
不曾刻骨铭心，为何念念不忘？,11万,https://music.163.com/playlist?id=2683848158
遥不可及 | 还有多远才能进入你的心,12万,https://music.163.com/playlist?id=2520454912
隔壁老樊的孤单,49万,https://music.163.com/playlist?id=2476882724
宝藏男孩 谓之太一,10万,https://music.163.com/playlist?id=2520534612
2018年度最热新歌TOP100,105万,https://music.163.com/playlist?id=2578068117
温柔暴击|沉溺于男友音的甜蜜乡,50万,https://music.163.com/playlist?id=2511560749
会讲故事的男声 歌词唱的太像自己,13万,https://music.163.com/playlist?id=2546228760
你有没有喜欢很久却错过的人?,10万,https://music.163.com/playlist?id=2617430576
粤语无前奏 | 开口即深情 入耳便钟意,12万,https://music.163.com/playlist?id=2512725665
愿每个孤独的人 都有属于自己的歌,11万,https://music.163.com/playlist?id=2564404001
粤语高甜歌：一辈子很短 要爱对的人,10万,https://music.163.com/playlist?id=2690737342
试 着 安 静 地 听 完 一 整 首 歌,13万,https://music.163.com/playlist?id=2634350920
你总要孤身一人 尝遍所有的孤独,10万,https://music.163.com/playlist?id=2686152638
希望你的可爱，可以治愈一切烦恼,13万,https://music.163.com/playlist?id=2523761864
亲亲，这边建议您心情不好听听这些歌呢,17万,https://music.163.com/playlist?id=2698345588
